
> admin_web@0.1.0 dev
> next dev

▲ Next.js 16.2.11 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.0.21:3000
- Environments: .env
✓ Ready in 675ms
⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /home/user/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /home/user/admin_web/package-lock.json


 GET /api/public/pass/status?userId=1 200 in 15ms (next.js: 5ms, application-code: 10ms)
 GET /api/public/wallet?userId=1 200 in 14ms (next.js: 3ms, application-code: 11ms)
 GET /api/public/pass/status?userId=1 200 in 17ms (next.js: 5ms, application-code: 12ms)
 GET /api/public/wallet?userId=1 200 in 19ms (next.js: 5ms, application-code: 14ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 4ms, application-code: 19ms)
 GET /api/public/wallet?userId=1 200 in 19ms (next.js: 4ms, application-code: 14ms)
 GET /api/public/page-configs/home 200 in 29ms (next.js: 10ms, application-code: 19ms)
 GET /api/public/wishes/my 401 in 40ms (next.js: 31ms, application-code: 8ms)
 GET /api/public/intro-config 200 in 53ms (next.js: 44ms, application-code: 9ms)
 GET /api/public/attendance/status?userId=1 200 in 27ms (next.js: 20ms, application-code: 8ms)
 GET /api/public/pass/policies 200 in 30ms (next.js: 17ms, application-code: 12ms)
 GET /api/public/healing-quotes 200 in 27ms (next.js: 20ms, application-code: 7ms)
 GET /api/public/wallet?userId=1 200 in 26ms (next.js: 13ms, application-code: 13ms)
 GET /api/public/notifications?userId=1&limit=50 200 in 26ms (next.js: 20ms, application-code: 6ms)
 GET /api/public/attendance/status?userId=1 200 in 19ms (next.js: 5ms, application-code: 15ms)
 GET /api/public/wallet?userId=1 200 in 26ms (next.js: 9ms, application-code: 17ms)
 GET /api/public/pass/policies 200 in 44ms (next.js: 31ms, application-code: 13ms)
 GET /api/public/pass/status?userId=1 200 in 12ms (next.js: 3ms, application-code: 9ms)
 GET /api/public/wallet?userId=1 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /api/public/pass/status?userId=1 200 in 22ms (next.js: 5ms, application-code: 17ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 4ms, application-code: 18ms)
 GET /api/public/wallet?userId=1 200 in 23ms (next.js: 5ms, application-code: 18ms)
